date,throughput,type
2010-07-01,18.113609354838708,actual
2010-08-01,15.129372225806453,actual
2010-09-01,25.03187643333333,actual
2010-10-01,23.51229280645161,actual
2010-11-01,29.89533996666667,actual
2010-12-01,35.271822903225804,actual
2011-01-01,45.01293929032258,actual
2011-02-01,57.260435214285714,actual
2011-03-01,62.16443319354838,actual
2011-04-01,59.802061,actual
2011-05-01,50.34736261290323,actual
2011-06-01,51.058581033333326,actual
2011-07-01,65.13610490322581,actual
2011-08-01,61.68324129032258,actual
2011-09-01,76.3242329,actual
2011-10-01,70.897015,actual
2011-11-01,82.27842796666667,actual
2011-12-01,80.59673096774193,actual
2012-01-01,85.06946099999999,actual
2012-02-01,84.61607396551724,actual
2012-03-01,85.55635529032259,actual
2012-04-01,79.05693763333333,actual
2012-05-01,82.68358141935485,actual
2012-06-01,77.97261916666668,actual
2012-07-01,73.79530274193549,actual
2012-08-01,80.11892958064516,actual
2012-09-01,76.9220069,actual
2012-10-01,64.82855919354839,actual
2012-11-01,79.37673956666666,actual
2012-12-01,83.54616764516129,actual
2013-01-01,86.52000000000001,actual
2013-02-01,87.36,actual
2013-03-01,84.47,actual
2013-04-01,84.22999999999999,actual
2013-05-01,80.6,actual
2013-06-01,73.15,actual
2013-07-01,63.73,actual
2013-08-01,81.23,actual
2013-09-01,83.78,actual
2013-10-01,84.33,actual
2013-11-01,77.88,actual
2013-12-01,82.8,actual
2014-01-01,82.07,actual
2014-02-01,86.16,actual
2014-03-01,85.14999999999999,actual
2014-04-01,84.2,actual
2014-05-01,84.76,actual
2014-06-01,81.62,actual
2014-07-01,81.9,actual
2014-08-01,83.39,actual
2014-09-01,80.05,actual
2014-10-01,87.86999999999999,actual
2014-11-01,87.50999999999999,actual
2014-12-01,87.16,actual
2015-01-01,88.35000000000001,actual
2015-02-01,87.64,actual
2015-03-01,92.22,actual
2015-04-01,94.57,actual
2015-05-01,83.68,actual
2015-06-01,82.99,actual
2015-07-01,94.51,actual
2015-08-01,91.24,actual
2015-09-01,90.33,actual
2015-10-01,80.25,actual
2015-11-01,86.75,actual
2015-12-01,85.76,actual
2016-01-01,94.13,actual
2016-02-01,92.04,actual
2016-03-01,87.24000000000001,actual
2016-04-01,63.66,actual
2016-05-01,64.95,actual
2016-06-01,61.54,actual
2016-07-01,78.19,actual
2016-08-01,88.34,actual
2016-09-01,89.51,actual
2016-10-01,87.77,actual
2016-11-01,94.23,actual
2016-12-01,95.12,actual
2017-01-01,95.6,actual
2017-02-01,92.2,actual
2017-03-01,95.48,actual
2017-04-01,94.76,actual
2017-05-01,95.4,actual
2017-06-01,94.67,actual
2017-07-01,89.76,actual
2017-08-01,93.14,actual
2017-09-01,94.42,actual
2017-10-01,90.01,actual
2017-11-01,47.47,actual
2017-12-01,92.62,actual
2018-01-01,94.25,actual
2018-02-01,95.0,actual
2018-03-01,93.72,actual
2018-04-01,96.09,actual
2018-05-01,93.6,actual
2018-06-01,94.81,actual
2018-07-01,95.05,actual
2018-08-01,89.73,actual
2018-09-01,92.72,actual
2018-10-01,92.03,actual
2018-11-01,93.1,actual
2018-12-01,93.72,actual
2019-01-01,94.48,actual
2019-02-01,84.50999999999999,actual
2019-03-01,89.25,actual
2019-04-01,89.97,actual
2019-05-01,95.68,actual
2019-06-01,93.71,actual
2019-07-01,94.45,actual
2019-08-01,93.82,actual
2019-09-01,91.0,actual
2019-10-01,79.02,actual
2019-11-01,56.05,actual
2019-12-01,91.15,actual
2020-01-01,90.04,actual
2020-02-01,92.77,actual
2020-03-01,90.72,actual
2020-04-01,84.82,actual
2020-05-01,85.5,actual
2020-06-01,86.31,actual
2020-07-01,87.07,actual
2020-08-01,87.97999999999999,actual
2020-09-01,87.86999999999999,actual
2020-10-01,94.57,actual
2020-11-01,93.43,actual
2020-12-01,95.03,actual
2021-01-01,98.22,actual
2021-02-01,95.26,actual
2021-03-01,95.83,actual
2021-04-01,96.39,actual
2021-05-01,94.09,actual
2021-06-01,92.17,actual
2021-07-01,96.2,actual
2021-08-01,95.22,actual
2021-09-01,93.49,actual
2021-10-01,93.52,actual
2021-11-01,99.21,actual
2021-12-01,99.73,actual
2022-01-01,95.44,actual
2022-02-01,92.73,actual
2022-03-01,97.21,actual
2022-04-01,96.86,actual
2022-05-01,96.62,actual
